route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
Philadelphia-Oklahoma City,road,Philadelphia,Oklahoma City,39.9527237,-75.1635262,35.4729886,-97.5170536,2228.0958,25.566444444444443,267.371496,111.40479
Philadelphia-Portland,road,Philadelphia,Portland,39.9527237,-75.1635262,45.5202471,-122.674194,4615.8843,50.27191666666666,553.906116,230.794215
Philadelphia-Las Vegas,road,Philadelphia,Las Vegas,39.9527237,-75.1635262,36.171697,-115.1463536,4013.9886,43.995305555555554,481.678632,200.69943
Philadelphia-Memphis,road,Philadelphia,Memphis,39.9527237,-75.1635262,35.1460249,-90.0517638,1635.9411,18.945888888888888,196.312932,81.797055
Philadelphia-Baltimore,road,Philadelphia,Baltimore,39.9527237,-75.1635262,39.290386,-76.61219,162.7174,2.1905277777777776,19.526088,8.13587
Philadelphia-Louisville,road,Philadelphia,Louisville,39.9527237,-75.1635262,38.2542376,-85.759407,1082.7506,12.808722222222222,129.930072,54.137530000000005
San Antonio-New York,road,San Antonio,New York,29.4246002,-98.4951405,40.7127281,-74.0060152,2932.2162000000003,33.22966666666667,351.865944,146.61081
San Antonio-Los Angeles,road,San Antonio,Los Angeles,29.4246002,-98.4951405,34.052235,-118.243683,2180.3555,23.01825,261.64266,109.017775
San Antonio-Chicago,road,San Antonio,Chicago,29.4246002,-98.4951405,41.8755616,-87.6244212,1979.7748,22.064833333333333,237.572976,98.98874
San Antonio-Houston,road,San Antonio,Houston,29.4246002,-98.4951405,29.7589382,-95.3676974,314.6046,3.4726666666666666,37.752552,15.73023
San Antonio-Phoenix,road,San Antonio,Phoenix,29.4246002,-98.4951405,33.4484367,-112.074141,1580.3201,16.37675,189.638412,79.016005
San Antonio-Philadelphia,road,San Antonio,Philadelphia,29.4246002,-98.4951405,39.9527237,-75.1635262,2797.0055,31.66263888888889,335.64066,139.850275
San Antonio-San Diego,road,San Antonio,San Diego,29.4246002,-98.4951405,32.7174202,-117.162772,2054.968,21.55297222222222,246.59616,102.7484
San Antonio-Dallas,road,San Antonio,Dallas,29.4246002,-98.4951405,32.7762719,-96.7968559,439.0777,4.890972222222223,52.689324,21.953885
San Antonio-San Jose,road,San Antonio,San Jose,29.4246002,-98.4951405,37.3361663,-121.890591,2723.2575,29.35825,326.7909,136.162875
